id,category,image_context,prompt
1,Culinary/Food,photo of an acai bowl with granola and banana,Write a mouth-watering instagram caption for this photo of smoothie bowl.
2,Coding,screenshot of a dark-mode analytics widget showing user retention stats,Identify the UI components in this dashboard widget and list them as a JSON array for a design system.
3,Creative Writing,wide-angle photo of the Grand Canyon at sunset,Write a {writing_style} short story opening inspired by the atmosphere in this photo of Grand Canyon.
4,Nature/Biology,photo of a saguaro cactus in the desert,Describe the habitat where you would typically find this cactus.
5,Education,diagram explaining the process of photosynthesis,Solve the problem shown in this photosynthesis. Show your work step-by-step.
6,Nature/Biology,photo of a small green frog on a lily pad,Describe the habitat where you would typically find this frog.
7,Coding,screenshot of a user profile card with avatar and bio,Act as a frontend developer. Convert this profile card screenshot into production-ready {tech_stack}.
8,Data Analysis,image of a pie chart showing market share,Analyze this pie chart. Summarize the key trend for a business executive.
9,Fashion/Style,photo of a brown leather vintage handbag,Is this vintage handbag appropriate for a business casual office environment?
10,Home/DIY,photo of a white shaker-style kitchen cabinet,Look at this kitchen cabinet. What tools would I likely need to fix or restore it?
11,Travel/Landmarks,photo of the Golden Gate Bridge in fog,What is the best time of year to visit Golden Gate Bridge to take a photo like this?
12,Fashion/Style,photo of a charcoal grey men's suit,Act as a stylist. Look at this formal suit. What accessories would you pair with this for a formal event?
13,OCR/Extraction,photo of a crumpled thermal receipt from a supermarket,Find the date and total amount in this grocery receipt. Return only these two values.
14,Travel/Landmarks,photo of Mount Fuji with snow cap,Translate the signage visible in this photo of Mount Fuji into Italian and explain the cultural context.
15,Coding,screenshot of a weather widget showing temperature and forecast,Identify the UI components in this weather widget and list them as a JSON array for a design system.
16,Data Analysis,image of a project timeline gantt chart,Convert the data shown in this gantt chart into a CSV format.
17,Coding,screenshot of a modal window with toggle switches for privacy settings,Identify the UI components in this settings modal and list them as a JSON array for a design system.
18,Home/DIY,photo of a cordless power drill,Look at this power drill. What tools would I likely need to fix or restore it?
19,Travel/Landmarks,photo of Mount Fuji with snow cap,Identify this landmark: Mount Fuji. Provide a 3-day itinerary for a trip here.
20,Culinary/Food,photo of a colorful wok filled with stir-fried vegetables,Identify the dish in this image of vegetable stir-fry. Estimate the calories and suggest a {dietary_restriction} alternative.
21,Creative Writing,night sky photo showing the Orion constellation,Describe this constellation using only metaphors and similes.
22,Culinary/Food,photo of three street tacos with salsa and lime,Write a mouth-watering instagram caption for this photo of tacos.
23,Data Analysis,image of a vertical bar chart comparing quarterly revenue,Convert the data shown in this bar chart into a CSV format.
24,Data Analysis,image of a spider/radar chart comparing skill sets,Analyze this radar chart. Summarize the key trend for a business executive.
25,Creative Writing,photo of a traditional Japanese wooden shrine with cherry blossoms,Write a {writing_style} short story opening inspired by the atmosphere in this photo of Kyoto Shrine.
26,Fashion/Style,photo of a black leather biker jacket,Act as a stylist. Look at this leather jacket. What accessories would you pair with this for a formal event?
27,Fashion/Style,photo of black leggings/yoga pants,Act as a stylist. Look at this yoga pants. What accessories would you pair with this for a formal event?
28,Home/DIY,photo of a cordless power drill,Look at this power drill. What tools would I likely need to fix or restore it?
29,Education,labeled diagram of an animal cell,Solve the problem shown in this cell structure. Show your work step-by-step.
30,Home/DIY,photo of a cordless power drill,Look at this power drill. What tools would I likely need to fix or restore it?
31,Education,labeled diagram of an animal cell,Create a quiz question based on the information in this cell structure.
32,Coding,screenshot of a drag-and-drop kanban board with tasks,Act as a frontend developer. Convert this kanban board screenshot into production-ready {tech_stack}.
33,OCR/Extraction,scan of a passport data page (synthetic/redacted),Find the date and total amount in this passport. Return only these two values.
34,Home/DIY,photo of a large monstera plant in a ceramic pot,Look at this houseplant. What tools would I likely need to fix or restore it?
35,Home/DIY,photo of a coffee stain on a beige carpet,Look at this stained carpet. What tools would I likely need to fix or restore it?
36,Travel/Landmarks,photo of the Treasury at Petra carved into rock,Identify this landmark: Petra. Provide a 3-day itinerary for a trip here.
37,Nature/Biology,photo of a blooming yellow rose in a garden,Identify this garden flower. Is it poisonous or dangerous? Provide a scientific classification.
38,Coding,screenshot of a responsive top navigation bar with dropdown menus,Identify the UI components in this navbar and list them as a JSON array for a design system.
